r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r11,g11,b11,r12,g12,b12,r13,g13,b13,r14,g14,b14,r15,g15,b15,r16,g16,b16,r17,g17,b17,r18,g18,b18,r19,g19,b19,r20,g20,b20,r21,g21,b21,r22,g22,b22,r23,g23,b23,r24,g24,b24,cluster
0.409757,0.389433,0.411236,0.335022,0.308761,0.342405,0.287888,0.260371,0.293498,0.36361,0.342635,0.372467,0.479989,0.463654,0.491952,0.345204,0.33855,0.346177,0.177809,0.170113,0.178872,0.138622,0.130888,0.140143,0.280038,0.2726,0.280571,0.411242,0.400277,0.408513,0.909558,0.906493,0.907495,0.956855,0.954423,0.954572,0.945246,0.942419,0.942583,0.858346,0.853925,0.854626,0.618797,0.612185,0.616692,0.289515,0.282117,0.289953,0.254642,0.246937,0.254597,0.228633,0.22056,0.228547,0.225738,0.218137,0.227451,0.271102,0.258425,0.272846,0.385363,0.370613,0.409658,0.299876,0.27944,0.317384,0.300913,0.276093,0.315982,0.317843,0.291916,0.331626,0.382731,0.357516,0.398422,cluster2
0.434413,0.533926,0.326321,0.43147,0.531981,0.323508,0.4265,0.528567,0.31824,0.432671,0.534727,0.32308,0.442605,0.544027,0.331473,0.568413,0.631898,0.475372,0.558643,0.625098,0.462416,0.539954,0.613284,0.438803,0.528221,0.606685,0.421911,0.523773,0.605287,0.414955,0.679781,0.71371,0.603858,0.677675,0.713568,0.601122,0.663014,0.705722,0.58203,0.637094,0.688692,0.548713,0.620503,0.677292,0.527639,0.665562,0.704589,0.582219,0.669108,0.709151,0.585449,0.655512,0.701711,0.568638,0.634825,0.688262,0.54223,0.6187,0.676273,0.522233,0.662336,0.702708,0.577872,0.661214,0.704083,0.57457,0.643485,0.693352,0.552043,0.62114,0.678248,0.523618,0.606214,0.667477,0.505672,cluster4
0.379988,0.295009,0.299698,0.459909,0.350865,0.347079,0.480215,0.368127,0.364572,0.499972,0.387082,0.378816,0.556917,0.440879,0.426693,0.45153,0.356033,0.353396,0.477215,0.3657,0.358291,0.517968,0.398332,0.388598,0.5117,0.398459,0.384755,0.584227,0.470121,0.452785,0.566854,0.453901,0.438418,0.542229,0.421092,0.403341,0.540647,0.416685,0.398263,0.563488,0.442805,0.422357,0.67786,0.564214,0.543481,0.65112,0.524244,0.498202,0.609137,0.481338,0.454252,0.606916,0.483697,0.457972,0.691253,0.573506,0.548973,0.768065,0.65914,0.638801,0.715557,0.581452,0.54908,0.670364,0.533322,0.500122,0.667043,0.539928,0.510978,0.777138,0.660214,0.63504,0.801689,0.693298,0.672376,cluster4
0.586498,0.501437,0.503534,0.486747,0.392987,0.392361,0.472869,0.381381,0.381328,0.573902,0.487345,0.480941,0.775256,0.688004,0.678908,0.50251,0.424053,0.429271,0.388924,0.30564,0.308132,0.40868,0.329844,0.337816,0.43648,0.357285,0.354527,0.635004,0.555105,0.550456,0.508402,0.463319,0.468162,0.393002,0.346739,0.352347,0.439164,0.386722,0.391158,0.465266,0.418109,0.421822,0.494497,0.438657,0.43732,0.830791,0.796911,0.799733,0.798285,0.762529,0.764789,0.759646,0.722856,0.724087,0.717196,0.676802,0.678134,0.584606,0.538502,0.539233,0.636577,0.595394,0.598719,0.543983,0.497482,0.499043,0.53071,0.480994,0.480783,0.71695,0.669504,0.668144,0.730117,0.67664,0.675678,cluster4
0.399087,0.501265,0.330295,0.358193,0.476865,0.275472,0.350467,0.471214,0.265337,0.352011,0.472273,0.266398,0.356485,0.476156,0.270282,0.458687,0.599838,0.345312,0.412782,0.573293,0.283012,0.406787,0.570086,0.273827,0.410393,0.572788,0.277581,0.413134,0.574913,0.279972,0.5157,0.656047,0.396995,0.462994,0.624919,0.326367,0.451038,0.617215,0.311024,0.45723,0.621309,0.318474,0.458863,0.62269,0.32032,0.599695,0.712433,0.501014,0.551048,0.684318,0.435775,0.536317,0.674695,0.416506,0.538057,0.675668,0.419135,0.527946,0.669282,0.406746,0.616792,0.72393,0.523164,0.579973,0.703208,0.47311,0.565847,0.694057,0.454395,0.565294,0.693506,0.453935,0.553765,0.685887,0.439735,cluster2
0.322461,0.30622,0.322991,0.287561,0.280941,0.298977,0.255443,0.256579,0.274602,0.232327,0.23971,0.254431,0.224101,0.233865,0.246687,0.374702,0.353705,0.365741,0.3371,0.325191,0.338369,0.301605,0.298357,0.31069,0.278544,0.280938,0.288765,0.269813,0.27501,0.282666,0.446171,0.418102,0.43066,0.41508,0.3943,0.407497,0.386932,0.371569,0.385189,0.367136,0.355608,0.366914,0.353377,0.345911,0.357023,0.517029,0.478718,0.493746,0.501041,0.465963,0.480101,0.476827,0.446578,0.459639,0.455819,0.431089,0.443681,0.450478,0.430082,0.440068,0.54063,0.501886,0.521982,0.543299,0.505516,0.523935,0.541261,0.505074,0.520474,0.533796,0.499878,0.514084,0.526456,0.495302,0.508318,cluster1
0.333051,0.264071,0.296843,0.357,0.281757,0.313027,0.391091,0.311122,0.33773,0.407549,0.331447,0.355401,0.372161,0.308687,0.331609,0.408956,0.334962,0.35201,0.410397,0.334574,0.354637,0.412999,0.333749,0.355584,0.413082,0.332696,0.355955,0.390586,0.318355,0.342409,0.460608,0.391325,0.395072,0.447071,0.377492,0.3839,0.442761,0.369182,0.382432,0.43113,0.355162,0.374702,0.413136,0.337896,0.360903,0.495954,0.42987,0.437127,0.472493,0.407483,0.415197,0.46376,0.398467,0.406024,0.448799,0.381726,0.394965,0.425446,0.357538,0.377453,0.486166,0.421854,0.430538,0.469897,0.405517,0.415569,0.470718,0.406561,0.415547,0.456412,0.394038,0.403384,0.426328,0.365304,0.38202,cluster1
0.400071,0.299943,0.330674,0.416467,0.307959,0.338119,0.425165,0.312427,0.341911,0.425588,0.316111,0.346882,0.421141,0.316474,0.346837,0.422178,0.320496,0.344582,0.429396,0.319854,0.347447,0.434807,0.320306,0.348351,0.42623,0.313718,0.3442,0.415452,0.30947,0.339543,0.454225,0.35549,0.370128,0.448554,0.344141,0.365698,0.440167,0.33147,0.3578,0.426279,0.318524,0.347006,0.412254,0.308184,0.337069,0.480132,0.384074,0.390149,0.466864,0.369026,0.382345,0.444666,0.344707,0.368237,0.429217,0.329379,0.356223,0.411181,0.313831,0.341544,0.488902,0.39681,0.399306,0.482694,0.389701,0.39505,0.45631,0.361951,0.379248,0.430499,0.336154,0.363325,0.411465,0.31938,0.348351,cluster1
0.409673,0.311796,0.341216,0.398796,0.301639,0.331822,0.38865,0.283942,0.316764,0.388978,0.282405,0.314804,0.38967,0.28426,0.315273,0.401727,0.305946,0.334499,0.387646,0.293529,0.325106,0.380858,0.278244,0.312719,0.379265,0.269803,0.305208,0.385846,0.276826,0.310889,0.386027,0.296387,0.326959,0.372354,0.284433,0.316387,0.369351,0.270397,0.305224,0.374206,0.265051,0.30106,0.38648,0.282094,0.316664,0.378466,0.298155,0.330848,0.363788,0.283187,0.31466,0.363071,0.268441,0.301366,0.362237,0.261799,0.295786,0.370826,0.282351,0.315701,0.364649,0.295252,0.328549,0.360893,0.291342,0.321683,0.366236,0.28502,0.316081,0.374937,0.294803,0.32357,0.456097,0.384285,0.410682,cluster1
0.351677,0.290595,0.32121,0.355874,0.294235,0.321749,0.349925,0.288243,0.314521,0.34911,0.286501,0.313422,0.362526,0.297514,0.325186,0.345652,0.289728,0.32065,0.351527,0.295243,0.32283,0.346306,0.288967,0.315342,0.344556,0.28661,0.312043,0.35198,0.29087,0.316678,0.350357,0.297821,0.330901,0.353937,0.301963,0.330875,0.348835,0.296834,0.324449,0.349181,0.294715,0.321759,0.36107,0.301349,0.329408,0.347441,0.298304,0.330789,0.347791,0.299152,0.326488,0.347795,0.298462,0.323929,0.35043,0.298319,0.323772,0.366138,0.306766,0.333626,0.329696,0.284472,0.319865,0.329257,0.283457,0.313862,0.327676,0.281392,0.307452,0.329813,0.281434,0.306136,0.33783,0.284612,0.311212,cluster1
